group_id,group_name,category,description
1,CineGeeks,peliculas,Servidor cinéfilo que comparte pelis raras (y malware).
2,PelisRetro,peliculas,Pelis de los 80s ripeadas de VHS.
3,PirateCine,peliculas,Pelis nuevas en mala calidad.
4,SteamBreakers,videojuegos,Cracks y mods “educativos”.
5,CodeGamers,videojuegos,Todo lo que el launcher no te deja hacer.
6,FilmotecaAnon,peliculas,Donde los clásicos se bajan con virus modernos.
7,GamePirata,videojuegos,Servidor para gamers sin presupuesto.
8,FilmLovers,peliculas,El club del cine no tan legal.
9,PlayHackers,videojuegos,Descargas directas y riesgo directo.
10,OldSchoolMovies,peliculas,Películas retro y virus vintage.
11,PatchZone,videojuegos,Todo sobre actualizaciones no oficiales.
12,4KWorld,peliculas,Todo en 4K, incluido el troyano.
13,GamersRoot,videojuegos,Foro de juegos “gratis”.
14,CineStreamers,peliculas,Donde el cine se streaméa mal.
15,NoLagGamers,videojuegos,Juegos livianos, virus pesados.
