group_id,sender_name,message_type,message_text,media_url,damage
1,ModFilm,text,“Star Wors IX”,www.discordload.ru/starwors,25
2,RetroFan,text,“Volver al Virus”,www.retrostream.cc,40
3,PirataCine,text,“Fast & Curious”,www.megafake.io,30
4,CineLoco,text,“Toy Estory: El Retorno del Buzo”,www.pelisvip.net,20
5,Juanito,text,“Matrix: El Reinicio del Error”,www.streamhack.biz,35
6,FilmAnon,text,“Breaking Dad”,www.pelisdark.ru,50
7,DonVirus,text,“Capitán América: Malware Soldier”,www.cinep2p.ru,45
8,PeliGuy,text,“Superman: Redownload”,www.fullstream.cx,15
9,AnonFilm,text,“El Virus de los Simios”,www.descargafree.io,60
10,RetroHD,text,“Titanic 3D pero sin agua”,www.oldpelis.net,25
11,CineBot,text,“Jurassic Click”,www.megadown.ru,50
12,Downloader,text,“Avengadores: El Parche Final”,www.cine4k.cc,40
13,MovieDev,text,“Batman: No Actualizado”,www.movieshade.io,20
14,DoñaMary,text,“Rey León 4: El Retorno del Malware”,www.pelidown.biz,45
15,FilmGeek,text,“Frozen.exe”,www.coolfilm.ru,55
