group_id,sender_name,message_type,message_text,media_url,damage
4,GamerX,text,“Call of Duty: Bug Ops”,www.crackfiles.net,45
4,AnonUser,text,“GTA: Sin permisos”,www.megagame.io,35
5,JuanDev,text,“Skyrim Bug Edition”,www.modzone.ru,25
6,PatchLord,text,“League of Lagends”,www.fakepatch.net,50
7,HackGamer,text,“Resident Virus 9”,www.downpatch.ru,60
8,DevNull,text,“Minecraft: Beta Hackeada”,www.juegosbeta.cc,30
9,CrazyMod,text,“ValorAntivirus”,www.gamemods.biz,55
10,PlayerOne,text,“CS: Global Uninstall”,www.steamfree.ru,40
11,ModKing,text,“The Witcher 4 (Fan Beta)”,www.rpgcrack.cc,25
12,SteamLover,text,“Apex Leaks”,www.megagame.io/apex,50
13,NoobMaster,text,“DOOM Eternal Error”,www.crashgame.ru,60
14,ElModder,text,“Halo: Infection”,www.gamehack.biz,45
15,PirataPlayer,text,“Among Sus”,www.susmods.io,20
1,Lolero,text,“Overpatched 2”,www.patchfree.ru,25
2,Carlos,text,“Zelda: Tears of Malware”,www.hackgame.biz,40
3,GamerGirl,text,“Pokemón Virus Yellow”,www.arcadefake.io,35
8,MrCrack,text,“Forza Horizon 6 Virus”,www.gamersopen.cx,55
9,Andresito,text,“Half-Life 4 (Falso)”,www.juegospirata.cc,50
