group_id,group_name,category,description
1,EstrenosVIP,peliculas,Grupo para compartir los mejores estrenos del año.
2,CineLatino,peliculas,Cine y clásicos adaptados en versión digital.
3,PelisHD2025,peliculas,Descargas rápidas de películas en alta definición.
4,ClubCinéfilo,peliculas,Comunidad de fanáticos del cine alternativo.
5,PelisGratisYA,peliculas,Todo tipo de películas gratis al instante.
6,CineRetro,peliculas,Películas viejas restauradas por fans.
7,FullSeriesLatino,peliculas,Descarga capítulos completos en español latino.
8,HDMoviesCloud,peliculas,Películas nuevas en servidores privados.
9,StreamPopcorn,peliculas,Disfruta de estrenos sin pagar.
10,TheFilmCorner,peliculas,Cine underground y experimental.
11,GamerZOne,videojuegos,Comunidad de gamers con juegos nuevos.
12,GameHackers,videojuegos,Juegos crackeados y mods gratuitos.
13,Play4Free,videojuegos,Compartimos links de juegos sin costo.
14,RetroGamesClub,videojuegos,Juegos clásicos adaptados a PC moderno.
15,IndieVault,videojuegos,Proyectos indie gratuitos y experimentales.
