group_id,sender_name,message_type,message_text,media_url,damage
"1,LuisCinefan,text,""Peli completa de 'Los Vengativos 2: El Retorno del Martillo'"",https://pelisvip.net/vengativos2,10"
"2,MariaFilms,text,""'El Mago del Borde' calidad HD subtitulada"",https://cineok.cc/mago-borde,0"
"3,AndresHD,text,""Versión extendida de 'Rápidos y Curiosos 9'"",https://pelisnow.io/rapidoscuriosos9,20"
"4,Anonimo,text,""Descarga directa de 'El Señor de los Anillos del WiFi'"",https://peliculaspremium.co/lotwifi,90"
"5,JuliSeries,text,""Trilogía 'Matrix Rebooted' comprimida en 1 link"",https://filesdrive.co/matrixrebooted,70"
"6,CamiFilms,text,""Peli familiar: 'Toy Historia 5' en español latino"",https://megafiles.cloud/toyhistoria5,0"
"7,JuanAnon,text,""Nueva versión remasterizada de 'Titanic 3000'"",https://descargaya.link/titanic3000,60"
"8,SebasHD,text,""'Piratas del Andén 4' — 1080p sin virus"",https://serverpelis.to/and4,0"
"9,PeliFreak,text,""Colección completa de 'Star Walls' edición fanmade"",https://rarelinks.net/starwallsfan,30"
"10,ElCineLoco,text,""Versión grabada de cine de 'Avatar Oscuro'"",https://fileshare.tv/avataroscuro_cam,85"
"11,FedeMovies,text,""Pack de películas animadas clásicas"",https://filmania.cc/animadas_classics,10"
"12,CinePlus,text,""'El Multiverso de Juanito' — nueva comedia"",https://watchfun.tv/juanitoverse,0"
"13,Anon,text,""Link exclusivo: 'El Hombre Araña Sin Presupuesto'"",https://shadylinks.xyz/spoodermanfree,95"
"14,KarlaFilm,text,""'Encantada 3: Desencanto Real' — versión fan"",https://streamok.cc/encantada3fan,15"
"15,PedroFiles,text,""'Rey León 4' remake no oficial en HD"",https://pelisok.net/reyleon4,25"
"16,AnitaFullHD,text,""Corto 'Buscando a Memo Jr.' — formato ligero"",https://fshare.co/memojr,0"
"17,FernandoCine,text,""Documental: 'Hackeando Hollywood' 2025"",https://cinevault.tv/hackhollywood,5"
"18,LaloAnon,text,""'Harry Popotter y el Príncipe Desconectado'"",https://darkmedia.io/popotter5,100"
"19,MartaOnline,text,""'Jurassic WiFi Park' edición extendida"",https://filmzoo.io/jurassicwifi,40"
"20,OscarCamRip,text,""Film grabado de sala: 'Doctor Extraloco'"",https://weirdshare.net/extraloco_cam,80"
