group_id,sender_name,message_type,message_text,media_url,damage
"11,GamerLuis,text,""Descarga gratis 'Misión Fallida 5' edición gold"",https://gamesfree.to/misionfallida5,20"
"12,DarkModder,text,""Hack para 'FortNightmare' desbloquea todo"",https://weirdmods.io/fortnightmare_unlocked,90"
"13,PlayerZero,text,""'Call of Dooty: Lavandería Warfare' 2025"",https://gamerscloud.net/dootywarfare,15"
"14,RetroMax,text,""Colección completa 'Super Mario Bros. Alternativos'"",https://retrojump.io/superaltbros,0"
"15,HackerDude,text,""'Cyberpunked 3077' versión parcheada sin virus"",https://patchhub.cc/cyberpunked3077,5"
"11,GabyPlayer,text,""Beta exclusiva 'Apex Predators' (requiere crack)"",https://strangegames.net/apexpredators,60"
"12,LuchoCrack,text,""Link completo 'Among Us 3: Infiltración Total'"",https://fakegames.xyz/amongus3crack,80"
"13,Game4U,text,""'FIFA 26 Pirata Edition' — todos los equipos"",https://sportmod.io/fifa26pirata,95"
"14,Anónimo,text,""'Minecraft RTX Sin RTX' portable"",https://modsfree.cc/minercraft_sinrtx,10"
"15,IndieMaker,text,""'Stardoom Valley' simulador de caos"",https://indiegames.dev/stardoomvalley,0"
"11,LucasX,text,""Trucos para 'The Legend of Zenda: Resueño'"",https://freecodes.gg/zendaresueno,0"
"12,FerGames,text,""Full pack de 'Resident Peligro' con mods"",https://modsmania.org/residentpeligro,45"
"13,Anon,text,""'God of Roar: Versión Prealfa filtrada'"",https://darkfiles.cc/godofroar_pre,75"
"14,RetroChan,text,""'PacMán Reloaded' para Windows 11"",https://retrogamesclub.io/pacmanreloaded,0"
"15,JorgeMod,text,""'GTA: Bucaramanga City' — mapa fanmade"",https://localgames.net/gtabga,10"
"11,LauraPlayer,text,""Actualización de 'Overwait 3' con nuevos héroes"",https://updateshare.co/overwait3,25"
"12,AnonX,text,""'Counter-Strike: Galletas Ofensivas' edición dulce"",https://funfiles.gg/cookiestrike,0"
"13,FedeMod,text,""Instalador automático 'League of Leyendas Pirata'"",https://fakeleagues.net/lolpirata,85"
"14,KarenDev,text,""Demo gratuita 'Simulador de Trámites 2025'"",https://indiehub.co/tramites2025demo,0"
"15,MiguelPlay,text,""'The Witcher 4: La Tusa Salvaje' beta no oficial"",https://crazyshare.cc/tusasalvaje,70"
