group_id,sender_name,message_type,message_text,media_url,damage
"1,Laura,text,Mira ""Los Vengadores Alternativos"" gratis,https://bit.ly/VengadoresFake,50"
1,Pedro,text,Esta versión tiene subtítulos raros pero funciona,https://pelisaltas.net,10
1,Ana,text,Descarga directa sin anuncios,https://pelisdescarga.com,0
"2,David,text,""Piratas del Espacio"" en HD,https://streamfree.me,45"
2,Lina,text,Nueva app para ver pelis sin registro,https://peliplusnew.com,20
2,Oscar,text,Eviten el text anterior, me dañó el PC,https://none,0
"3,Sara,text,""Matrix Reinstalada"" versión 2025,https://cinelibre.co,60"
3,Manuel,text,Probé esa y se pegó el navegador,https://none,0
3,Luz,text,Versión segura aquí,https://cinemaoficial.org,0
4,Raúl,text,App “CineTotal” full acceso,https://apkdescargas.xyz,50
4,Paty,text,Recomiendo “CineSeguro” mejor,https://cinelimpio.com,0
5,Esteban,text,No descarguen del enlace viejo,https://none,0
"5,Clara,text,""Toy Story 5"" filtrada,https://toystream.biz,60"
6,Fer,text,Nueva función para pelis gratis,https://movies4free.text,40
"7,Sofía,text,""Rey León 3D"" sin virus,https://none,0"
8,Julián,text,Instala esta extensión para ver pelis,https://peliviewaddon.net,55
"9,Valentina,text,Peli del mes: ""Amor Binario"",https://descargafilm.app,10"
"10,Tomás,text,Descarga ""Titanic 2: El retorno"",https://pelisback.org,50"
11,Martín,text,No sé si es real pero funciona,https://none,0
"12,Andrés,text,""Jurassic Park Reloaded"" 1080p,https://dinozone.net,45"
13,Juana,text,Ese text pide permisos raros,https://none,0
14,Paula,text,Descarga “Star Peace”,https://fakestreams.org,50
"15,Santiago,text,""Frozen 3"" antes del estreno,https://pelismagic.net,60"
