group_id,sender_name,message_type,message_text,media_url,damage
"6,Luis,text,Descarga ""Grand Theft Otto"" full,https://crackedotto.com,60"
6,Mario,text,Yo lo instalé y me borró todo,https://none,0
"7,Camilo,text,Nuevo parche para ""CraftMine"",https://safezone.gg,0"
"7,Andrés,text,""FIFA 26"" versión gratuita,https://freefifa.net,55"
"8,Karla,text,""Counter-Fake 2"" beta,https://fpsreload.biz,50"
8,David,text,text alterno con menos virus,https://downloadsure.net,10
9,Elena,text,App “SpeedRun Deluxe”,https://fastplay.app,0
9,Mateo,text,Ese instalador es peligroso,https://none,0
"10,Lucas,text,""Mario Multiverse"",https://jumpbros.fun,45"
10,Jorge,text,Versión estable aquí,https://platformsafe.gg,0
11,Daniel,text,Mod de “Fortzone”,https://battlehack.io,40
12,Natalia,text,Descarga “Among Sus”,https://suszone.net,55
13,Emilio,text,Probé el text y no abrió,https://none,0
14,Sara,text,Actualización “Mobile Quest”,https://playtext.org,15
15,Kevin,text,Instala “League of Losers”,https://moba4u.me,60
2,FedePlay,text,“Zelda: Ocarina del Bug”,www.downloadhack.ru,35
3,Anon,text,“Mario Kart Ultra Drift”,www.arcadepirata.biz,20
6,JuanDev,text,“Overwrote 3”,www.viruspatch.bz,45
10,Fanboy,text,“PUBG Real Virus Edition”,www.gamefree.ru,55
