group_id,sender_name,message_type,message_text,media_url,damage
"1,CineBot,text,""Star Wors IX: El despertar de los bugs"",www.cinegeek.xyz/starworsix,35"
"1,FilmFan,text,""Harry Potter y el código maldito"",www.magicfilms.ws/harrycode,28"
"1,MovieMaster,text,""El Señor de los Anillos: La comunidad del bug"",www.ringfilms.cc/lotrbug,42"
"2,RetroKing,text,""Volver al Virus (Edición VHS)"",www.retrotapes.com/backvirus,25"
"2,OldSchool,text,""E.T. el Extraterrestre: Director's Cut No Oficial"",www.80sfilms.net/etcut,30"
"2,VHSCollector,text,""Ghostbusters: Edición Proton Pack"",www.ghostfilms.vhs/busters,22"
"3,PiratePro,text,""Fast & Curious 12: Tokyo Bug"",www.torrentcine.pw/fast12,45"
"3,NewReleases,text,""Avatar 3: El camino del agua (sin agua)"",www.newfilms.co/avatar3,38"
"3,CineRogue,text,""Jurassic Park: Parque de errores"",www.dinofilms.ru/jurassicbug,33"
"7,ClassicLover,text,""Casablanca: Restauración casera"",www.oldmovies.cc/casablanca,20"
"7,VintageFan,text,""Ciudadano Kane: Versión con memes"",www.classicfilm.moe/citizen,27"
"11,PremiumUser,text,""Misión Imposible 7: Protocolo fallido"",www.blockhub.cf/mission7,40"
"11,MovieHunter,text,""Black Panther: Wakanda Forever (temporal)"",www.cineprime.io/wakanda,36"
"13,CultExpert,text,""El Gran Lebowski: Edición Marmota"",www.cultfilms.art/lebowski,29"
"13,IndieFilm,text,""Pulp Fiction: Timeline alternativo"",www.quintinfilm.net/pulp,31"
"15,DirectorCut,text,""Matrix: Resurrecciones del error"",www.directorscut.ws/matrix4,44"
"15,FilmGeek,text,""Blade Runner 2049: Build inestable"",www.futurefilms.tech/blade,39"
"1,CineManiac,text,""Los Vengadores: Endgame (sin final)"",www.marvelfans.club/endgame,41"
"2,RetroExpert,text,""Tiburón: Edición mordida"",www.sharkfilms.vhs/jaws,26"
"3,PirateKing,text,""John Wick 4: Bugs bala"",www.actionload.pw/wick4,43"
