group_id,sender_name,message_type,message_text,media_url,damage
"4,CrackMaster,text,""Call of Duty: Bug Ops III"",www.crackfiles.net/codbugs,48"
"4,ModderPro,text,""GTA VI: Edición pre-alpha"",www.gtafiles.cc/gtavi,52"
"4,AnonGamer,text,""Cyberpunk 2077: Versión estable (mentira)"",www.cybercracks.gq/cp77,45"
"5,CodeWizard,text,""Skyrim: Bug Edition Remastered"",www.modzone.ru/skyrimse,35"
"5,DevGamer,text,""Minecraft 2.0: No oficial"",www.minecraftmods.pro/mc2,38"
"5,HackPlayer,text,""Fortnite: Battle Royale sin battle pass"",www.freegames.ws/fortnite,42"
"6,IndieDev,text,""Hollow Knight: Silksong (build leak)"",www.indieleaks.net/silksong,44"
"6,GameHunter,text,""Stardew Valley: Expanded no oficial"",www.farmgames.cc/stardewplus,32"
"8,ModExpert,text,""The Sims 4: Todos los DLCs (parche mágico)"",www.simscracks.top/sims4,50"
"8,TechGamer,text,""Fallout 4: Modpack definitivo"",www.modparadise.com/fallout4,46"
"10,RetroPlayer,text,""Super Mario 64: PC Port mejorado"",www.retroemu.org/mario64,28"
"10,OldGamer,text,""Zelda: Ocarina of Time HD fanmade"",www.zeldamods.art/ootHD,33"
"12,TechWizard,text,""Elden Ring: Easy mode mod"",www.gamesolutions.dev/eldenring,49"
"12,CodeBreaker,text,""Red Dead Redemption 2: Modpack salvaje"",www.rdr2mods.fun/rdr2,47"
"14,OpenGamer,text,""Among Us: Mod de 100 jugadores"",www.opensourcegames.net/amongus,40"
"14,LinuxGamer,text,""Rocket League: Server privado"",www.rocketfree.tech/rl,37"
"4,GameCracker,text,""FIFA 24: Parche de equipos completos"",www.soccermods.pro/fifa24,51"
"5,ScriptKid,text,""Valorant: Client modificado"",www.fpsmods.xyz/valorant,55"
"6,IndieFan,text,""Celeste: Mod de niveles infinitos"",www.indiemods.gq/celeste,36"
"8,ModKing,text,""Doom Eternal: Modpack demoníaco"",www.doomfiles.net/eternal,53"
