group_id,sender_name,message_type,message_text,media_url,damage,is_legal
1,Skyrim: Bug Edition Remastered,text,35,www.modzone.ru/skyrimse,35,true
2,Call of Duty: Bug Ops III,text,48,www.crackfiles.net/codbugs,48,true
3,Hollow Knight: Silksong (build leak),text,44,www.indieleaks.net/silksong,44,true
4,The Forest: Expanded Survival Mod,text,42,www.survivalmods.cc/forest,42,true
5,FIFA 24: Parche de equipos completos,text,51,www.soccermods.pro/fifa24,51,true
6,Age of Empires IV: Civilizaciones Extra,text,38,www.strategygames.mod/aoe4,38,true
7,Resident Evil 4: Remake modpack,text,49,www.horrorgames.mod/re4remake,49,true
8,Super Mario 64: PC Port mejorado,text,28,www.retroemu.org/mario64,28,true
9,Need for Speed: Heat Custom Cars,text,45,www.racingmods.top/nfsheat,45,true
10,Mortal Kombat 12: Characters Unlocked,text,52,www.fightmods.net/mk12,52,true
11,Minecraft 2.0: No oficial,text,38,www.minecraftmods.pro/mc2,38,true
12,Microsoft Flight Simulator: All Planes,text,47,www.simmods.tech/flightsim,47,true
13,The Legend of Zelda: Randomizer extreme,text,35,www.zeldarandom.art/zelda,35,true
14,World of Warcraft: Private Server Pack,text,55,www.mmoprivate.ws/wow,55,true
15,Final Fantasy VII: Remake mod completo,text,44,www.ffmods.cc/ff7remake,44,true
1,Baldur's Gate 3: Unlimited power mod,text,55,www.rpgmods.fun/baldurs3,55,true
2,Doom Eternal: Modpack demoníaco,text,53,www.doomfiles.net/eternal,53,true
6,StarCraft II: Co-op Commanders Extra,text,41,www.sc2mods.gg/starcraft,41,true
11,Garry's Mod: Addon Collection Mega,text,36,www.sandboxmods.io/gmod,36,true
14,Final Fantasy XIV: Free subscription,text,58,www.ffxivprivate.com/ff14,58,true
