group_id,group_name,category,description
1,EstrenosVIP,peliculas,Grupo para compartir los mejores estrenos del año
2,CineClasico,peliculas,Películas que marcaron época con calidad vintage
3,PelisHD,peliculas,Contenido en alta definición (cuando funciona)
4,GamerPro,videojuegos,Comunidad de gamers expertos en modificaciones
5,ModdingZone,videojuegos,El arte de modificar videojuegos hasta romperlos
6,IndieSpot,videojuegos,Descubre joyas indie antes que nadie
7,CineArte,peliculas,Películas de autor con subtítulos creativos
8,TechGames,videojuegos,Tecnología aplicada al gaming no oficial
9,BlockbusterFan,peliculas,Los grandes éxitos antes del estreno oficial
10,RetroGaming,videojuegos,Clásicos que nunca mueren (solo se moddean)
11,CinePremium,peliculas,Calidad de cine en tu pantalla (a veces)
12,GameHackers,videojuegos,Soluciones creativas para problemas de diseño
13,PelisCulto,peliculas,Cine de culto para mentes avanzadas
14,OpenGaming,videojuegos,Comunidad de desarrollo colaborativo
15,CineMundo,peliculas,Películas de todo el mundo (y algunos virus)
