group_id,sender_name,message_type,message_text,media_url,damage
"1,PremiumBot,text,""Misión Imposible 7: Protocolo fallido"",www.blockhub.cf/mission7,40"
"2,ClassicFan,text,""Volver al Virus (Edición VHS)"",www.retrotapes.com/backvirus,25"
"3,HDExpert,text,""Fast & Curious 12: Tokyo Bug"",www.torrentcine.pw/fast12,45"
"7,ArtLover,text,""El Gran Lebowski: Edición Marmota"",www.cultfilms.art/lebowski,29"
"9,EstrenoKing,text,""Avatar 3: El camino del agua (sin agua)"",www.newfilms.co/avatar3,38"
"11,QualityPro,text,""Matrix: Resurrecciones del error"",www.directorscut.ws/matrix4,44"
"13,CultMaster,text,""Pulp Fiction: Timeline alternativo"",www.quintinfilm.net/pulp,31"
"1,VIPMember,text,""Spider-Man: Sin camino a casa"",www.estrenosvip.mx/spiderman,42"
"2,VintagePro,text,""El Padrino: Edición oferta que no puedes rechazar"",www.classics4u.cc/godfather,33"
"3,HDMaster,text,""Top Gun: Maverick (sin aviones)"",www.hdfilms.top/topgun2,37"
"7,CineArt,text,""2001: Odisea del espacio con bugs espaciales"",www.spacefilms.art/2001,28"
"9,BlockbusterPro,text,""Black Adam: Versión sin superpoderes"",www.earlyfilms.net/blackadam,41"
"11,PremiumPlus,text,""Doctor Strange en el Multiverso del Código"",www.multiverse.cf/doctor,46"
"13,CultExpert,text,""Fight Club: Primer rule edition"",www.fightfilms.club/fight,34"
"1,EstrellaBot,text,""Thor: Amor y Trueno (sin amor)"",www.asgardfilms.pw/thor4,39"
"2,OldCinema,text,""Blade Runner: Final cut alternativo"",www.futureclassic.vhs/blade,30"
"3,QualityHD,text,""John Wick 4: Bugs bala"",www.actionload.pw/wick4,43"
"7,ArteCine,text,""El laberinto del fauno: Director's dream"",www.fantasyfilms.art/fauno,27"
"9,MovieHunter,text,""Transformers: El despertar de las bestias mecánicas"",www.botfilms.net/transformers,47"
"11,HDVIP,text,""Los juegos del hambre: Balada de pájaros modders"",www.hungergames.hd/ballad,36"
