group_id,sender_name,message_type,message_text,media_url,damage
"4,ProGamer,text,""Call of Duty: Bug Ops III"",www.crackfiles.net/codbugs,48"
"5,ModderX,text,""Skyrim: Bug Edition Remastered"",www.modzone.ru/skyrimse,35"
"6,IndieHunter,text,""Hollow Knight: Silksong (build leak)"",www.indieleaks.net/silksong,44"
"8,TechMaster,text,""The Sims 4: Todos los DLCs (parche mágico)"",www.simscracks.top/sims4,50"
"10,RetroExpert,text,""Super Mario 64: PC Port mejorado"",www.retroemu.org/mario64,28"
"12,HackPro,text,""Elden Ring: Easy mode mod"",www.gamesolutions.dev/eldenring,49"
"14,OpenExpert,text,""Among Us: Mod de 100 jugadores"",www.opensourcegames.net/amongus,40"
"4,GamePro,text,""Battlefield 2042: Fixed edition (no fixed)"",www.battlemods.tech/bf2042,53"
"5,ModdingPro,text,""Fallout 5: Leak edition pre-alpha"",www.falloutmods.cc/fo5,57"
"6,IndieSpotter,text,""Hades 2: Early access muy early"",www.olympusgames.net/hades2,45"
"8,TechGuru,text,""Starfield: Universe expanded mod"",www.spacemods.xyz/starfield,51"
"10,RetroKing,text,""Pokémon Rojo Fuego: Mod completo"",www.pokemods.gba/firered,32"
"12,CodeMaster,text,""Baldur's Gate 3: Unlimited power mod"",www.rpgmods.fun/baldurs3,55"
"14,CommunityDev,text,""Terraria: World of infinite blocks"",www.terramods.cc/terraria,38"
"4,ProPlayer,text,""Overwatch 2: Sin microtransacciones"",www.overmods.gg/overwatch2,52"
"5,ScriptMaster,text,""Genshin Impact: Free primogems hack"",www.animemods.moe/genshin,60"
"6,IndieGuru,text,""Undertale 2: Fangame oficial no oficial"",www.indieparadise.net/undertale2,42"
"8,TechWizard,text,""Cyberpunk 2077: Phantom Liberty unlocked"",www.cybermods.cf/phantom,47"
"10,ClassicGamer,text,""The Legend of Zelda: Randomizer extreme"",www.zeldarandom.art/zelda,35"
"12,HackMaster,text,""Resident Evil 4: Remake modpack"",www.horrorgames.mod/re4remake,49"
