group_id,sender_name,message_type,message_text,media_url,damage
"1,FamilyBot,text,""Los Increíbles 3: Error en la familia"",www.familyfilms.cc/incredibles3,32"
"2,ActionPro,text,""John Wick 4: Bugs bala"",www.actionload.pw/wick4,43"
"3,StreamMaster,text,""Fast & Curious 12: Tokyo Bug"",www.torrentcine.pw/fast12,45"
"7,IndieFilm,text,""El Gran Lebowski: Edición Marmota"",www.cultfilms.art/lebowski,29"
"8,TechCine,text,""Matrix: Resurrecciones del error"",www.directorscut.ws/matrix4,44"
"9,PremiumReleases,text,""Avatar 3: El camino del agua (sin agua)"",www.newfilms.co/avatar3,38"
"11,UltraHD,text,""Misión Imposible 7: Protocolo fallido"",www.blockhub.cf/mission7,40"
"13,AltCine,text,""Pulp Fiction: Timeline alternativo"",www.quintinfilm.net/pulp,31"
"15,GlobalFilm,text,""Volver al Virus (Edición VHS)"",www.retrotapes.com/backvirus,25"
"1,FamilyPlus,text,""Toy Story 5: Los juguetes hackean"",www.toysfilms.pro/toystory5,35"
"2,ActionKing,text,""Mad Max: Fury Road sin road"",www.madmaxfilms.xyz/fury,46"
"3,StreamPro,text,""The Batman: Modo noche permanente"",www.batfilms.dark/batman,41"
"7,IndieMaster,text,""Parásito: Edición sin subtítulos"",www.worldcinema.art/parasite,33"
"8,PCMovies,text,""Blade Runner 2049: Build inestable"",www.futurefilms.tech/blade,39"
"9,EarlyAccess,text,""Dune: Parte Dos - Arena edition"",www.dunefilms.sand/dune2,47"
"11,Quality4K,text,""Avatar 2: El sentido del agua (sin sentido)"",www.avatarfilms.hd/avatar2,42"
"13,AltVision,text,""El club de la pelea: Regla cero edition"",www.fightfilms.club/fight,34"
"15,WorldCinema,text,""Rápido y Furioso 25: Último bug"",www.fastfilms.world/furious25,50"
"2,ActionFan,text,""Die Hard: Duro de matar (y de descargar)"",www.actionclassic.net/diehard,37"
"3,StreamExpert,text,""Jurassic World: Dominion del bug"",www.dinostreams.cc/jurassicw,44"
13,Juana,text,Ese text pide permisos raros,https://none,0
14,Paula,text,Descarga “Star Peace”,https://fakestreams.org,50
"15,Santiago,text,""Frozen 3"" antes del estreno,https://pelismagic.net,60"
